Date / Time,CPU Usage %,Teperature C
2018-11-11 20:23:58,16.5,53.2
2018-11-11 20:24:09,6,52.1
2018-11-11 20:24:21,5.1,52.1
2018-11-11 20:24:32,4.1,52.1
2018-11-11 20:24:43,5.1,52.1
2018-11-11 20:24:55,5.2,52.6
2018-11-11 20:25:06,5,52.1
2018-11-11 20:25:19,4.6,52.1
2018-11-11 20:25:30,5,52.6
2018-11-11 20:25:41,3.5,52.1
2018-11-11 20:25:53,5.5,52.1
2018-11-11 20:26:04,6.8,52.1
2018-11-11 20:26:17,4.9,52.6
2018-11-11 20:26:28,4.5,52.1
2018-11-11 20:26:40,5.3,52.1
2018-11-11 20:26:51,6.1,52.6
2018-11-11 20:27:03,4.4,51.5
2018-11-11 20:27:15,6.2,51.5
2018-11-11 20:27:26,4.2,52.6
2018-11-11 20:27:37,3.9,52.1
2018-11-11 20:27:49,5.5,51.5
2018-11-11 20:28:01,5.2,52.1
2018-11-11 20:28:12,4.8,51.5
2018-11-11 20:28:24,5.1,51.5
2018-11-11 20:28:35,5.2,51.5
2018-11-11 20:28:47,4.3,52.1
2018-11-11 20:28:58,6.1,52.6
2018-11-11 20:29:09,5.1,52.1
2018-11-11 20:29:21,4.7,51.5
2018-11-11 20:29:32,4.5,52.1
2018-11-11 20:29:44,5.4,51.5
2018-11-11 20:29:55,5,52.1
2018-11-11 20:30:06,5.6,52.1
2018-11-11 20:30:18,4.9,51.5
2018-11-11 20:30:30,6,52.1
2018-11-11 20:30:41,5,52.1
2018-11-11 20:30:53,5.2,52.6
2018-11-11 20:31:04,6.3,52.1
2018-11-11 20:31:16,5.3,52.1
2018-11-11 20:31:28,4.6,52.1
2018-11-11 20:31:39,4,52.1
2018-11-11 20:31:50,4.9,52.6
2018-11-11 20:32:02,6.6,52.6
2018-11-11 20:32:14,4,52.1
2018-11-11 20:32:25,5.6,52.1
2018-11-11 20:32:36,4.9,51.5
2018-11-11 20:32:48,4.8,52.6
2018-11-11 20:32:59,6.6,51.5
2018-11-11 20:33:11,3.7,52.1
2018-11-11 20:33:22,5.6,52.1
2018-11-11 20:33:33,5.3,52.1
2018-11-11 20:33:45,4.4,52.6
2018-11-11 20:33:56,6.4,52.1
2018-11-11 20:34:07,4.7,51.5
2018-11-11 20:34:19,5.3,51.5
2018-11-11 20:34:31,5.7,52.1
2018-12-08 12:52:20,16.8,48.3
2018-12-08 12:52:24,8.2,47.2
2018-12-08 12:52:27,5.6,47.2
2018-12-08 12:52:31,1.6,47.2
2018-12-08 12:52:35,8.3,47.2
2018-12-08 12:52:39,4.4,47.2
2018-12-08 12:52:43,4.8,47.8
2018-12-08 12:52:46,2.3,47.2
2018-12-08 12:52:50,9.5,47.2
2018-12-08 12:52:54,6.6,47.8
2018-12-08 12:52:58,3.8,47.8
2018-12-08 12:53:01,8.8,47.2
2018-12-08 12:53:05,4.8,47.2
2018-12-08 12:53:09,7.7,47.2
2018-12-08 12:53:12,2.9,46.7
2018-12-08 12:53:16,8.8,48.3
2018-12-08 12:53:20,2.5,47.8
2018-12-08 12:53:24,4.2,47.8
2018-12-08 12:53:27,7.7,48.3
2018-12-08 12:53:31,3.2,47.8
2018-12-08 12:53:35,4.8,47.8
2018-12-08 12:53:39,4.3,47.8
2018-12-08 12:53:43,9.9,48.3
2018-12-08 12:53:47,2.2,48.3
2018-12-08 12:53:51,5.7,48.3
2018-12-08 12:53:55,10.6,48.3
2018-12-08 12:53:59,2.4,47.8
2018-12-08 12:54:03,5.8,47.8
2018-12-08 12:54:06,6.3,48.3
2018-12-08 12:54:10,6.1,48.3
2018-12-08 12:54:14,3.4,48.3
2018-12-08 12:54:17,5.4,48.3
2018-12-08 12:54:21,9.4,49.4
2018-12-08 12:54:25,4.5,48.3
2018-12-08 12:54:28,5.4,48.9
2018-12-08 12:54:32,6.1,48.3
2018-12-08 12:54:36,5.2,48.9
2018-12-08 12:54:40,2.1,48.3
2018-12-08 12:54:44,8.8,49.4
2018-12-08 12:54:48,6.1,48.3
2018-12-08 12:54:51,1.7,48.9
2018-12-08 12:54:55,7.4,48.3
2018-12-08 12:54:58,6.7,48.9
2018-12-08 12:55:02,4.9,48.3
2018-12-08 12:55:06,1.7,48.9
2018-12-08 12:55:10,11.4,48.9
2018-12-08 12:55:14,3.8,48.9
2018-12-08 12:55:17,4.7,48.9
2018-12-08 12:55:21,4.3,48.3
2018-12-08 12:55:25,9.6,48.3
2018-12-08 12:55:28,7.7,49.4
2018-12-08 12:55:32,2.4,48.9
2018-12-08 12:55:36,11.2,49.4
2018-12-08 12:55:39,4.6,49.4
2018-12-08 12:55:43,5.1,49.4
2018-12-08 12:55:47,2.6,48.9
2018-12-08 12:55:50,8.8,49.4
2018-12-08 12:55:54,3.7,49.4
2018-12-08 12:55:57,4.7,49.4
2018-12-08 12:56:01,6.5,49.4
2018-12-08 12:56:05,7.2,49.4
2018-12-08 12:56:09,6.3,49.4
2018-12-08 12:56:13,3,49.4
2018-12-08 12:56:17,7.1,49.4
2018-12-08 12:56:20,5.3,49.4
2018-12-08 12:56:24,5.6,48.9
2018-12-08 12:56:28,7.5,49.4
2018-12-08 12:56:31,3.2,49.4
2018-12-08 12:56:36,4.2,49.9
2018-12-08 12:56:39,5.7,49.4
2018-12-08 12:56:43,6.6,49.4
2018-12-08 12:56:46,1.9,49.4
2018-12-08 12:56:50,5.3,50.5
2018-12-08 12:56:54,6.2,49.4
2018-12-08 12:56:57,5.1,50.5
2018-12-08 12:57:01,2.1,49.4
2018-12-08 12:57:04,6.9,49.9
2018-12-08 12:57:08,4.8,49.4
2018-12-08 12:57:11,6.1,49.4
2018-12-08 12:57:15,3.2,49.4
2018-12-08 12:57:19,7.8,49.9
2018-12-08 12:57:22,4.6,50.5
2018-12-08 12:57:26,2.4,50.5
2018-12-08 12:57:29,9.3,50.5
2018-12-08 12:57:33,6.7,50.5
2018-12-08 12:57:37,5.4,49.9
2018-12-08 12:57:41,1.8,50.5
2018-12-08 12:57:45,8.7,50.5
2018-12-08 12:57:49,4.2,50.5
2018-12-08 12:57:52,5.5,49.9
2018-12-08 12:57:56,8.9,49.9
2018-12-08 12:57:59,4.1,50.5
2018-12-08 12:58:04,4.9,49.9
2018-12-08 12:58:07,3.4,49.4
2018-12-08 12:58:11,10.9,50.5
2018-12-08 12:58:14,1.9,50.5
2018-12-08 12:58:18,5.1,51
2018-12-08 12:58:21,5.8,49.9
2018-12-08 12:58:25,9,49.9
2018-12-08 12:58:29,3.1,50.5
2018-12-08 12:58:33,3.5,50.5
2018-12-08 12:58:37,9.5,51
2018-12-08 12:58:40,2.1,49.4
2018-12-08 12:58:44,5.1,50.5
2018-12-08 12:58:47,5.4,50.5
2018-12-08 12:58:51,6.8,50.5
2018-12-08 12:58:54,2,50.5
2018-12-08 12:58:58,6.6,51
2018-12-08 12:59:02,7,50.5
2018-12-08 12:59:05,4.9,51.5
2018-12-08 12:59:09,2.4,51
2018-12-08 12:59:12,6.8,50.5
2018-12-08 12:59:16,7.5,50.5
2018-12-08 12:59:19,4.2,50.5
2018-12-08 12:59:23,5.6,51.5
2018-12-08 12:59:26,6.3,50.5
2018-12-08 12:59:30,8.6,51
2018-12-08 12:59:34,2.8,50.5
2018-12-08 12:59:37,8.1,51
2018-12-08 12:59:41,6.5,50.5
